2019-06-06 17:05:00.474 INFO  [11140] Logger 0 Initialized
2019-06-10 14:55:32.812 INFO  [6608] Logger 0 Initialized
2019-06-10 14:57:48.535 INFO  [2052] Logger 0 Initialized
2019-06-10 14:59:06.723 INFO  [6704] Logger 0 Initialized
2019-06-10 14:59:19.915 INFO  [2788] Logger 0 Initialized
2019-06-10 15:06:30.589 INFO  [2140] Logger 0 Initialized
2019-06-10 15:34:19.340 INFO  [6152] Logger 0 Initialized
2019-06-10 15:34:30.439 INFO  [10568] Logger 0 Initialized
2019-06-10 15:40:50.177 INFO  [2588] Logger 0 Initialized
2019-06-10 15:41:45.322 INFO  [9380] Logger 0 Initialized
2019-06-10 15:41:54.168 INFO  [3396] Logger 0 Initialized
2019-06-10 15:54:36.889 INFO  [9812] Logger 0 Initialized
2019-06-10 15:54:45.948 INFO  [4808] Logger 0 Initialized
2019-06-10 15:54:53.828 INFO  [10028] Logger 0 Initialized
2019-06-10 15:59:27.681 INFO  [3464] Logger 0 Initialized
2019-06-10 16:16:42.292 INFO  [2736] Logger 0 Initialized
2019-06-10 16:26:16.440 INFO  [7568] Logger 0 Initialized
2019-06-10 16:28:46.894 INFO  [8856] Logger 0 Initialized
2019-06-11 09:47:16.875 INFO  [11788] Logger 0 Initialized
2019-06-11 09:50:30.032 INFO  [7788] Logger 0 Initialized
2019-06-11 09:55:57.222 INFO  [9408] Logger 0 Initialized
2019-06-11 09:56:21.273 INFO  [1924] Logger 0 Initialized
2019-06-11 09:56:31.115 INFO  [552] Logger 0 Initialized
2019-06-11 10:06:52.107 INFO  [13100] Logger 0 Initialized
2019-06-11 10:08:02.171 INFO  [9956] Logger 0 Initialized
2019-06-11 10:29:16.215 INFO  [12404] Logger 0 Initialized
2019-06-11 10:29:31.028 INFO  [7644] Logger 0 Initialized
2019-06-12 09:49:01.960 INFO  [8548] Logger 0 Initialized
